split,image_stem,class_id,x_center,y_center,w,h,class_name,area_norm,aspect_ratio
train,IMG_4351_HEIC.rf.675c3ca665df4a4d30d4beb50f243a24,2,0.763671875,0.3369140625,0.2939453125,0.2294921875,200,0.0674581527709961,1.2808510638297872
train,IMG_4352_HEIC.rf.8f98747f1c08b329d19b20045d43f675,2,0.2646484375,0.6484375,0.2705078125,0.201171875,200,0.05441856384277344,1.3446601941747574
train,IMG_4354_HEIC.rf.7c7cbb73a203a7b734d94c4782a79b2e,0,0.3525390625,0.4736328125,0.2421875,0.18359375,100,0.044464111328125,1.3191489361702127
train,IMG_4355_HEIC.rf.3614ffd1e91b6cd1e68c44eed84302c0,0,0.7265625,0.6455078125,0.236328125,0.181640625,100,0.042926788330078125,1.3010752688172043
train,IMG_4356_HEIC.rf.8175711d19a4b9e4b549d7f6fc1379df,3,0.427734375,0.4404296875,0.2666015625,0.1982421875,50,0.05285167694091797,1.3448275862068966
train,IMG_4358_HEIC.rf.47c5ed9eac99767c17730752324949ef,4,0.3408203125,0.44921875,0.2978515625,0.2197265625,500,0.0654458999633789,1.3555555555555556
train,IMG_4359_HEIC.rf.204c518de2110fbf946a37d3bc552383,4,0.775390625,0.7958984375,0.28125,0.2109375,500,0.059326171875,1.3333333333333333
train,IMG_4360_HEIC.rf.8df151339cb5904db254416a39163b0a,3,0.6904296875,0.4990234375,0.267578125,0.1962890625,50,0.05252265930175781,1.36318407960199
train,IMG_4360_HEIC.rf.8df151339cb5904db254416a39163b0a,4,0.7744140625,0.794921875,0.283203125,0.2119140625,500,0.06001472473144531,1.336405529953917
train,IMG_4361_HEIC.rf.1eb9c516c624740a1c6b86b1cdb67508,3,0.2265625,0.7734375,0.2578125,0.1923828125,50,0.04959869384765625,1.3401015228426396
train,IMG_4361_HEIC.rf.1eb9c516c624740a1c6b86b1cdb67508,4,0.6650390625,0.794921875,0.2861328125,0.2080078125,500,0.059517860412597656,1.375586854460094
train,IMG_4363_HEIC.rf.b1a66d5b701c937cd28b4cf09fbcd9b1,3,0.224609375,0.7744140625,0.2578125,0.1923828125,50,0.04959869384765625,1.3401015228426396
train,IMG_4363_HEIC.rf.b1a66d5b701c937cd28b4cf09fbcd9b1,0,0.4716796875,0.541015625,0.234375,0.181640625,100,0.042572021484375,1.2903225806451613
train,IMG_4363_HEIC.rf.b1a66d5b701c937cd28b4cf09fbcd9b1,2,0.80078125,0.439453125,0.267578125,0.2021484375,200,0.05409049987792969,1.3236714975845412
train,IMG_4363_HEIC.rf.b1a66d5b701c937cd28b4cf09fbcd9b1,4,0.6650390625,0.7939453125,0.28125,0.2138671875,500,0.060150146484375,1.3150684931506849
train,IMG_4365_HEIC.rf.cf91048f8bc23108de401a3bc629f21a,0,0.45703125,0.5185546875,0.279296875,0.208984375,100,0.058368682861328125,1.3364485981308412
train,IMG_4367_HEIC.rf.9bd8520bab9672833e95781789ae78bb,0,0.2626953125,0.36328125,0.2431640625,0.1875,100,0.04559326171875,1.296875
train,IMG_4367_HEIC.rf.9bd8520bab9672833e95781789ae78bb,2,0.568359375,0.3232421875,0.2705078125,0.20703125,200,0.056003570556640625,1.3066037735849056
train,IMG_4367_HEIC.rf.9bd8520bab9672833e95781789ae78bb,0,0.79296875,0.5107421875,0.27734375,0.205078125,100,0.05687713623046875,1.3523809523809525
train,IMG_4367_HEIC.rf.9bd8520bab9672833e95781789ae78bb,0,0.390625,0.5263671875,0.2421875,0.1845703125,100,0.04470062255859375,1.312169312169312
train,IMG_4367_HEIC.rf.9bd8520bab9672833e95781789ae78bb,4,0.5361328125,0.724609375,0.2841796875,0.2138671875,500,0.060776710510253906,1.3287671232876712
train,IMG_4367_HEIC.rf.9bd8520bab9672833e95781789ae78bb,3,0.240234375,0.7890625,0.2568359375,0.193359375,50,0.04966163635253906,1.3282828282828283
train,IMG_4368_HEIC.rf.27c60e7f43e512f7aed0f2831ad01321,2,0.83203125,0.158203125,0.3017578125,0.2333984375,200,0.07042980194091797,1.292887029288703
train,IMG_4368_HEIC.rf.27c60e7f43e512f7aed0f2831ad01321,2,0.5654296875,0.3232421875,0.2734375,0.2080078125,200,0.05687713623046875,1.3145539906103287
train,IMG_4368_HEIC.rf.27c60e7f43e512f7aed0f2831ad01321,0,0.79296875,0.5107421875,0.279296875,0.2099609375,100,0.05864143371582031,1.330232558139535
train,IMG_4368_HEIC.rf.27c60e7f43e512f7aed0f2831ad01321,0,0.259765625,0.3623046875,0.2421875,0.1845703125,100,0.04470062255859375,1.312169312169312
train,IMG_4368_HEIC.rf.27c60e7f43e512f7aed0f2831ad01321,0,0.3896484375,0.52734375,0.244140625,0.1787109375,100,0.04363059997558594,1.366120218579235
train,IMG_4368_HEIC.rf.27c60e7f43e512f7aed0f2831ad01321,4,0.533203125,0.72265625,0.283203125,0.212890625,500,0.060291290283203125,1.3302752293577982
train,IMG_4368_HEIC.rf.27c60e7f43e512f7aed0f2831ad01321,3,0.2412109375,0.7900390625,0.2578125,0.1904296875,50,0.04909515380859375,1.353846153846154
train,IMG_4369_HEIC.rf.16d61a82b9c2c4981d9314abe02ff590,4,0.470703125,0.708984375,0.19140625,0.1435546875,500,0.027477264404296875,1.3333333333333333
train,IMG_4369_HEIC.rf.16d61a82b9c2c4981d9314abe02ff590,0,0.4619140625,0.2119140625,0.1904296875,0.146484375,100,0.027894973754882812,1.3
train,IMG_4369_HEIC.rf.16d61a82b9c2c4981d9314abe02ff590,1,0.6796875,0.3310546875,0.228515625,0.1689453125,1000,0.03860664367675781,1.3526011560693643
train,IMG_4369_HEIC.rf.16d61a82b9c2c4981d9314abe02ff590,2,0.5048828125,0.4384765625,0.185546875,0.138671875,200,0.025730133056640625,1.3380281690140845
train,IMG_4369_HEIC.rf.16d61a82b9c2c4981d9314abe02ff590,0,0.6513671875,0.5693359375,0.189453125,0.142578125,100,0.027011871337890625,1.3287671232876712
train,IMG_4369_HEIC.rf.16d61a82b9c2c4981d9314abe02ff590,3,0.2685546875,0.7451171875,0.1728515625,0.12890625,50,0.022281646728515625,1.3409090909090908
train,IMG_4369_HEIC.rf.16d61a82b9c2c4981d9314abe02ff590,0,0.37890625,0.5712890625,0.1650390625,0.12109375,100,0.019985198974609375,1.3629032258064515
train,IMG_4369_HEIC.rf.16d61a82b9c2c4981d9314abe02ff590,0,0.2958984375,0.458984375,0.166015625,0.1240234375,100,0.020589828491210938,1.3385826771653544
train,IMG_4369_HEIC.rf.16d61a82b9c2c4981d9314abe02ff590,2,0.2412109375,0.3154296875,0.1982421875,0.1552734375,200,0.03078174591064453,1.2767295597484276
train,IMG_4370_HEIC.rf.c3bfe99bbd9fdb380f4123f15ed89e17,2,0.6611328125,0.11328125,0.2138671875,0.1669921875,200,0.035714149475097656,1.280701754385965
train,IMG_4370_HEIC.rf.c3bfe99bbd9fdb380f4123f15ed89e17,0,0.384765625,0.21875,0.201171875,0.150390625,100,0.030254364013671875,1.3376623376623376
train,IMG_4370_HEIC.rf.c3bfe99bbd9fdb380f4123f15ed89e17,1,0.6123046875,0.3349609375,0.2255859375,0.1748046875,1000,0.03943347930908203,1.2905027932960893
train,IMG_4370_HEIC.rf.c3bfe99bbd9fdb380f4123f15ed89e17,2,0.1708984375,0.330078125,0.203125,0.1572265625,200,0.0319366455078125,1.2919254658385093
train,IMG_4370_HEIC.rf.c3bfe99bbd9fdb380f4123f15ed89e17,2,0.4423828125,0.4453125,0.1845703125,0.13671875,200,0.025234222412109375,1.35
train,IMG_4370_HEIC.rf.c3bfe99bbd9fdb380f4123f15ed89e17,0,0.59765625,0.57421875,0.185546875,0.1396484375,100,0.025911331176757812,1.3286713286713288
train,IMG_4370_HEIC.rf.c3bfe99bbd9fdb380f4123f15ed89e17,0,0.234375,0.47265625,0.1591796875,0.1240234375,100,0.01974201202392578,1.2834645669291338
train,IMG_4370_HEIC.rf.c3bfe99bbd9fdb380f4123f15ed89e17,0,0.3193359375,0.583984375,0.1650390625,0.1181640625,100,0.019501686096191406,1.396694214876033
train,IMG_4370_HEIC.rf.c3bfe99bbd9fdb380f4123f15ed89e17,4,0.4189453125,0.71875,0.1923828125,0.142578125,500,0.027429580688476562,1.3493150684931507
